x (m)	y (m)	Intensity
.00000	.00000	.00000
.00006	.00000	.00000
.00012	.00000	.00000
.00018	.00000	.00000
.00023	.00000	.00000
.00029	.00000	.00000
.00035	.00000	.00000
.00041	.00000	.00000
.00047	.00000	.00000
.00053	.00000	.00000
.00058	.00000	.00000
.00064	.00000	.00000
.00070	.00000	.00000
.00076	.00000	.00000
.00082	.00000	.00000
.00088	.00000	.00000
.00093	.00000	.00000
.00099	.00000	.00000
.00105	.00000	.00000
.00111	.00000	.00000
.00117	.00000	.00000
.00123	.00000	.00000
.00129	.00000	.00000
.00134	.00000	.00000
.00140	.00000	.00000
.00146	.00000	.00000
.00152	.00000	.00000
.00158	.00000	.00000
.00164	.00000	.00000
.00169	.00000	.00000
.00175	.00000	.00000
.00181	.00000	.00000
.00187	.00000	.00000
.00193	.00000	.00000
.00199	.00000	.00000
.00204	.00000	.00000
.00210	.00000	.00000
.00216	.00000	.00000
.00222	.00000	.00000
.00228	.00000	.00000
.00234	.00000	.00000
.00239	.00000	.00000
.00245	.00000	.00000
.00251	.00000	.00000
.00257	.00000	.00000
.00263	.00000	.00000
.00269	.00000	.00000
.00275	.00000	.00000
.00280	.00000	.00000
.00286	.00000	.00000
.00292	.00000	.00000
.00298	.00000	.00000
.00304	.00000	.00000
.00310	.00000	.00000
.00315	.00000	.00000
.00321	.00000	.00000
.00327	.00000	.00000
.00333	.00000	.00000
.00339	.00000	.00000
.00345	.00000	.00000
.00350	.00000	.00000
.00356	.00000	.00000
.00362	.00000	.00000
.00368	.00000	.00000
.00374	.00000	.00000
.00380	.00000	.00000
.00386	.00000	.00000
.00391	.00000	.00000
.00397	.00000	.00000
.00403	.00000	.00000
.00409	.00000	.00000
.00415	.00000	.00000
.00421	.00000	.00000
.00426	.00000	.00000
.00432	.00000	.00000
.00438	.00000	.00000
.00444	.00000	.00000
.00450	.00000	.00000
.00456	.00000	.00000
.00461	.00000	.00000
.00467	.00000	.00000
.00473	.00000	.00000
.00479	.00000	.00000
.00485	.00000	.00000
.00491	.00000	.00000
.00496	.00000	.00000
.00502	.00000	.00000
.00508	.00000	.00000
.00514	.00000	.00000
.00520	.00000	.00000
.00526	.00000	.00000
.00532	.00000	.00000
.00537	.00000	.00000
.00543	.00000	.00000
.00549	.00000	.00000
.00555	.00000	.00000
.00561	.00000	.00000
.00567	.00000	.00000
.00572	.00000	.00000
.00578	.00000	.00000
.00584	.00000	.00000
.00590	.00000	.00000
.00596	.00000	.00000
.00602	.00000	.00000
.00607	.00000	.00000
.00613	.00000	.00000
.00619	.00000	.00000
.00625	.00000	.00000
.00631	.00000	.00000
.00637	.00000	.00000
.00643	.00000	.00000
.00648	.00000	.00000
.00654	.00000	.00000
.00660	.00000	.00000
.00666	.00000	.00000
.00672	.00000	.00000
.00678	.00000	.00000
.00683	.00000	.00000
.00689	.00000	.00000
.00695	.00000	.00000
.00701	.00000	.00000
.00707	.00000	.00000
.00713	.00000	.00000
.00718	.00000	.00000
.00724	.00000	.00000
.00730	.00000	.00000
.00736	.00000	.00000
.00742	.00000	.00000
.00748	.00000	.00000
.00754	.00000	.00000
.00759	.00000	.00000
.00765	.00000	.00000
.00771	.00000	.00000
.00777	.00000	.00000
.00783	.00000	.00000
.00789	.00000	.00000
.00794	.00000	.00000
.00800	.00000	.00000
.00806	.00000	.00000
.00812	.00000	.00000
.00818	.00000	.00000
.00824	.00000	.00000
.00829	.00000	.00000
.00835	.00000	.00000
.00841	.00000	.00000
.00847	.00000	.00000
.00853	.00000	.00000
.00859	.00000	.00000
.00864	.00000	.00000
.00870	.00000	.00000
.00876	.00000	.00000
.00882	.00000	.00000
.00888	.00000	.00000
.00894	.00000	.00000
.00900	.00000	.00000
.00905	.00000	.00000
.00911	.00000	.00000
.00917	.00000	.00000
.00923	.00000	.00000
.00929	.00000	.00000
.00935	.00000	.00000
.00940	.00000	.00000
.00946	.00000	.00000
.00952	.00000	.00000
.00958	.00000	.00000
.00964	.00000	.00000
.00970	.00000	.00000
.00975	.00000	.00000
.00981	.00000	.00000
.00987	.00000	.00000
.00993	.00000	.00000
.00999	.00000	.00000
.01005	.00000	.00000
.01011	.00000	.00000
.01016	.00000	.00000
.01022	.00000	.00000
.01028	.00000	.00000
.01034	.00000	.00000
.01040	.00000	.00000
.01046	.00000	.00000
.01051	.00000	.00000
.01057	.00000	.00000
.01063	.00000	.00000
.01069	.00000	.00000
.01075	.00000	.00000
.01081	.00000	.00000
.01086	.00000	.00000
.01092	.00000	.00000
.01098	.00000	.00000
.01104	.00000	.00000
.01110	.00000	.00000
.01116	.00000	.00000
.01121	.00000	.00000
.01127	.00000	.00000
.01133	.00000	.00000
.01139	.00000	.00000
.01145	.00000	.00000
.01151	.00000	.00000
.01157	.00000	.00000
.01162	.00000	.00000
.01168	.00000	.00000
.01174	.00000	.00000
.01180	.00000	.00000
.01186	.00000	.00000
.01192	.00000	.00000
.01197	.00000	.00000
.01203	.00000	.00000
.01209	.00000	.00000
.01215	.00000	.00000
.01221	.00000	.00000
.01227	.00000	.00000
.01232	.00000	.00000
.01238	.00000	.00000
.01244	.00000	.00000
.01250	.00000	.00000
.01256	.00000	.00000
.01262	.00000	.00000
.01268	.00000	.00000
.01273	.00000	.00000
.01279	.00000	.00000
.01285	.00000	.00000
.01291	.00000	.00000
.01297	.00000	.00000
.01303	.00000	.00000
.01308	.00000	.00000
.01314	.00000	.00000
.01320	.00000	.00000
.01326	.00000	.00000
.01332	.00000	.00000
.01338	.00000	.00000
.01343	.00000	.00000
.01349	.00000	.00000
.01355	.00000	.00000
.01361	.00000	.00000
.01367	.00000	.00000
.01373	.00000	.00000
.01379	.00000	.00000
.01384	.00000	.00000
.01390	.00000	.00000
.01396	.00000	.00000
.01402	.00000	.00000
.01408	.00000	.00000
.01414	.00000	.00000
.01419	.00000	.00000
.01425	.00000	.00000
.01431	.00000	.00000
.01437	.00000	.00000
.01443	.00000	.00000
.01449	.00000	.00000
.01454	.00000	.00000
.01460	.00000	.00000
.01466	.00000	.00000
.01472	.00000	.00000
.01478	.00000	.00000
.01484	.00000	.00000
.01489	.00000	.00000
.01495	.00000	.00000
.01501	.00000	.00000
.01507	.00000	.00000
.01513	.00000	.00000
.01519	.00000	.00000
.01525	.00000	.00000
.01530	.00000	.00000
.01536	.00000	.00000
.01542	.00000	.00000
.01548	.00000	.00000
.01554	.00000	.00000
.01560	.00000	.00000
.01565	.00000	.00000
.01571	.00000	.00000
.01577	.00000	.00000
.01583	.00000	.00000
.01589	.00000	.00000
.01595	.00000	.00000
.01600	.00000	.00000
.01606	.00000	.00000
.01612	.00000	.00000
.01618	.00000	.00000
.01624	.00000	.00000
.01630	.00000	.00000
.01636	.00000	.00000
.01641	.00000	.00000
.01647	.00000	.00000
.01653	.00000	.00000
.01659	.00000	.00000
.01665	.00000	.00000
.01671	.00000	.00000
.01676	.00000	.00000
.01682	.00000	.00000
.01688	.00000	.00000
.01694	.00000	.00000
.01700	.00000	.00000
.01706	.00000	.00000
.01711	.00000	.00000
.01717	.00000	.00000
.01723	.00000	.00000
.01729	.00000	.00000
.01735	.00000	.00000
.01741	.00000	.00000
.01746	.00000	.00000
.01752	.00000	.00000
.01758	.00000	.00000
.01764	.00000	.00000
.01770	.00000	.00000
.01776	.00000	.00000
.01782	.00000	.00000
.01787	.00000	.00000
.01793	.00000	.00000
.01799	.00000	.00000
.01805	.00000	.00000
.01811	.00000	.00000
.01817	.00000	.00000
.01822	.00000	.00000
.01828	.00000	.00000
.01834	.00000	.00000
.01840	.00000	.00000
.01846	.00000	.00000
.01852	.00000	.00000
.01857	.00000	.00000
.01863	.00000	.00000
.01869	.00000	.00000
.01875	.00000	.00000
.01881	.00000	.00000
.01887	.00000	.00000
.01893	.00000	.00000
.01898	.00000	.00000
.01904	.00000	.00000
.01910	.00000	.00000
.01916	.00000	.00000
.01922	.00000	.00000
.01928	.00000	.00000
.01933	.00000	.00000
.01939	.00000	.00000
.01945	.00000	.00000
.01951	.00000	.00000
.01957	.00000	.00000
.01963	.00000	.00000
.01968	.00000	.00000
.01974	.00000	.00000
.01980	.00000	.00000
.01986	.00000	.00000
.01992	.00000	.00000
.01998	.00000	.00000
.02004	.00000	.00000
.02009	.00000	.00000
.02015	.00000	.00000
.02021	.00000	.00000
.02027	.00000	.00000
.02033	.00000	.00000
.02039	.00000	.00000
.02044	.00000	.00000
.02050	.00000	.00000
.02056	.00000	.00000
.02062	.00000	.00000
.02068	.00000	.00000
.02074	.00000	.00000
.02079	.00000	.00000
.02085	.00000	.00000
.02091	.00000	.00000
.02097	.00000	.00000
.02103	.00000	.00000
.02109	.00000	.00000
.02114	.00000	.00000
.02120	.00000	.00000
.02126	.00000	.00000
.02132	.00000	.00000
.02138	.00000	.00000
.02144	.00000	.00000
.02150	.00000	.00000
.02155	.00000	.00000
.02161	.00000	.00000
.02167	.00000	.00000
.02173	.00000	.00000
.02179	.00000	.00000
.02185	.00000	.00000
.02190	.00000	.00000
.02196	.00000	.00000
.02202	.00000	.00000
.02208	.00000	.00000
.02214	.00000	.00000
.02220	.00000	.00000
.02225	.00000	.00000
.02231	.00000	.00000
.02237	.00000	.00000
.02243	.00000	.00000
.02249	.00000	.00000
.02255	.00000	.00000
.02261	.00000	.00000
.02266	.00000	.00000
.02272	.00000	.00000
.02278	.00000	.00000
.02284	.00000	.00000
.02290	.00000	.00000
.02296	.00000	.00000
.02301	.00000	.00000
.02307	.00000	.00000
.02313	.00000	.00000
.02319	.00000	.00000
.02325	.00000	.00000
.02331	.00000	.00000
.02336	.00000	.00000
.02342	.00000	.00000
.02348	.00000	.00000
.02354	.00000	.00000
.02360	.00000	.00000
.02366	.00000	.00000
.02371	.00000	.00000
.02377	.00000	.00000
.02383	.00000	.00000
.02389	.00000	.00000
.02395	.00000	.00000
.02401	.00000	.00000
.02407	.00000	.00000
.02412	.00000	.00000
.02418	.00000	.00000
.02424	.00000	.00000
.02430	.00000	.00000
.02436	.00000	.00000
.02442	.00000	.00000
.02447	.00000	.00000
.02453	.00000	.00000
.02459	.00000	.00000
.02465	.00000	.00000
.02471	.00000	.00000
.02477	.00000	.00000
.02482	.00000	.00000
.02488	.00000	.00000
.02494	.00000	.00000
.02500	.00000	.00000
.02506	.00000	.00000
.02512	.00000	.00000
.02518	.00000	.00000
.02523	.00000	.00000
.02529	.00000	.00000
.02535	.00000	.00000
.02541	.00000	.00000
.02547	.00000	.00000
.02553	.00000	.00000
.02558	.00000	.00000
.02564	.00000	.00000
.02570	.00000	.00000
.02576	.00000	.00000
.02582	.00000	.00000
.02588	.00000	.00000
.02593	.00000	.00000
.02599	.00000	.00000
.02605	.00000	.00000
.02611	.00000	.00000
.02617	.00000	.00000
.02623	.00000	.00000
.02629	.00000	.00000
.02634	.00000	.00000
.02640	.00000	.00000
.02646	.00000	.00000
.02652	.00000	.00000
.02658	.00000	.00000
.02664	.00000	.00000
.02669	.00000	.00000
.02675	.00000	.00000
